zone_code,event_id,predicted_score,predicted_risk_class,top_factor_1,top_factor_1_value,top_factor_1_reason,top_factor_2,top_factor_2_value,top_factor_2_reason,top_factor_3,top_factor_3_value,top_factor_3_reason,explanation_text,honesty_note
NSR-GRID-011,evt_0551,0.8044825983533437,high,rain_6h_mm,28.7,Associated local environmental feature increases relative weather risk.,rain_24h_mm,34.9,High 24-hour rainfall increases surface water accumulation risk.,built_surface_mean,3686.910735826297,Dense built-up surfaces reduce natural ground absorption and infiltration.,"This zone is model-estimated as high risk. The primary risk drivers are: 1) rain_6h_mm (28.70) which associated local environmental feature increases relative weather risk, 2) rain_24h_mm (34.90) which high 24-hour rainfall increases surface water accumulation risk, and 3) built_surface_mean (3686.91) which dense built-up surfaces reduce natural ground absorption and infiltration.","The model predicts an engineered weather-impact risk score derived from real weather, satellite, road, and exposure features. It is not trained on verified official flood incident labels."
NSR-GRID-012,evt_0551,0.8475838714304366,high,rain_6h_mm,28.7,Associated local environmental feature increases relative weather risk.,rain_24h_mm,34.9,High 24-hour rainfall increases surface water accumulation risk.,built_surface_mean,3582.309468822171,Dense built-up surfaces reduce natural ground absorption and infiltration.,"This zone is model-estimated as high risk. The primary risk drivers are: 1) rain_6h_mm (28.70) which associated local environmental feature increases relative weather risk, 2) rain_24h_mm (34.90) which high 24-hour rainfall increases surface water accumulation risk, and 3) built_surface_mean (3582.31) which dense built-up surfaces reduce natural ground absorption and infiltration.","The model predicts an engineered weather-impact risk score derived from real weather, satellite, road, and exposure features. It is not trained on verified official flood incident labels."
NSR-GRID-013,evt_0551,0.8430031938546406,high,rain_6h_mm,28.7,Associated local environmental feature increases relative weather risk.,rain_24h_mm,34.9,High 24-hour rainfall increases surface water accumulation risk.,built_surface_mean,3567.6044330775785,Dense built-up surfaces reduce natural ground absorption and infiltration.,"This zone is model-estimated as high risk. The primary risk drivers are: 1) rain_6h_mm (28.70) which associated local environmental feature increases relative weather risk, 2) rain_24h_mm (34.90) which high 24-hour rainfall increases surface water accumulation risk, and 3) built_surface_mean (3567.60) which dense built-up surfaces reduce natural ground absorption and infiltration.","The model predicts an engineered weather-impact risk score derived from real weather, satellite, road, and exposure features. It is not trained on verified official flood incident labels."
NSR-GRID-014,evt_0551,0.6678720238492397,high,rain_6h_mm,28.7,Associated local environmental feature increases relative weather risk.,rain_24h_mm,34.9,High 24-hour rainfall increases surface water accumulation risk.,elevation_mean,145.73720608575374,Associated local environmental feature increases relative weather risk.,"This zone is model-estimated as high risk. The primary risk drivers are: 1) rain_6h_mm (28.70) which associated local environmental feature increases relative weather risk, 2) rain_24h_mm (34.90) which high 24-hour rainfall increases surface water accumulation risk, and 3) elevation_mean (145.74) which associated local environmental feature increases relative weather risk.","The model predicts an engineered weather-impact risk score derived from real weather, satellite, road, and exposure features. It is not trained on verified official flood incident labels."
NSR-GRID-015,evt_0551,0.6582860906106272,medium,rain_6h_mm,28.7,Associated local environmental feature increases relative weather risk.,rain_24h_mm,34.9,High 24-hour rainfall increases surface water accumulation risk.,elevation_mean,139.9039230823215,Associated local environmental feature increases relative weather risk.,"This zone is model-estimated as medium risk. The primary risk drivers are: 1) rain_6h_mm (28.70) which associated local environmental feature increases relative weather risk, 2) rain_24h_mm (34.90) which high 24-hour rainfall increases surface water accumulation risk, and 3) elevation_mean (139.90) which associated local environmental feature increases relative weather risk.","The model predicts an engineered weather-impact risk score derived from real weather, satellite, road, and exposure features. It is not trained on verified official flood incident labels."
NSR-GRID-016,evt_0551,0.7183013813239129,high,rain_6h_mm,28.7,Associated local environmental feature increases relative weather risk.,rain_24h_mm,34.9,High 24-hour rainfall increases surface water accumulation risk.,slope_mean,7.185755470805148,Associated local environmental feature increases relative weather risk.,"This zone is model-estimated as high risk. The primary risk drivers are: 1) rain_6h_mm (28.70) which associated local environmental feature increases relative weather risk, 2) rain_24h_mm (34.90) which high 24-hour rainfall increases surface water accumulation risk, and 3) slope_mean (7.19) which associated local environmental feature increases relative weather risk.","The model predicts an engineered weather-impact risk score derived from real weather, satellite, road, and exposure features. It is not trained on verified official flood incident labels."
NSR-GRID-017,evt_0551,0.7270881553283166,high,rain_6h_mm,28.7,Associated local environmental feature increases relative weather risk.,rain_24h_mm,34.9,High 24-hour rainfall increases surface water accumulation risk.,elevation_mean,135.98742076069723,Associated local environmental feature increases relative weather risk.,"This zone is model-estimated as high risk. The primary risk drivers are: 1) rain_6h_mm (28.70) which associated local environmental feature increases relative weather risk, 2) rain_24h_mm (34.90) which high 24-hour rainfall increases surface water accumulation risk, and 3) elevation_mean (135.99) which associated local environmental feature increases relative weather risk.","The model predicts an engineered weather-impact risk score derived from real weather, satellite, road, and exposure features. It is not trained on verified official flood incident labels."
NSR-GRID-018,evt_0551,0.6527962471074298,medium,rain_6h_mm,28.7,Associated local environmental feature increases relative weather risk.,rain_24h_mm,34.9,High 24-hour rainfall increases surface water accumulation risk.,elevation_mean,149.5374622752921,Associated local environmental feature increases relative weather risk.,"This zone is model-estimated as medium risk. The primary risk drivers are: 1) rain_6h_mm (28.70) which associated local environmental feature increases relative weather risk, 2) rain_24h_mm (34.90) which high 24-hour rainfall increases surface water accumulation risk, and 3) elevation_mean (149.54) which associated local environmental feature increases relative weather risk.","The model predicts an engineered weather-impact risk score derived from real weather, satellite, road, and exposure features. It is not trained on verified official flood incident labels."
NSR-GRID-019,evt_0551,0.853386314323147,high,rain_6h_mm,28.7,Associated local environmental feature increases relative weather risk.,rain_24h_mm,34.9,High 24-hour rainfall increases surface water accumulation risk.,built_surface_mean,3433.8671875000005,Dense built-up surfaces reduce natural ground absorption and infiltration.,"This zone is model-estimated as high risk. The primary risk drivers are: 1) rain_6h_mm (28.70) which associated local environmental feature increases relative weather risk, 2) rain_24h_mm (34.90) which high 24-hour rainfall increases surface water accumulation risk, and 3) built_surface_mean (3433.87) which dense built-up surfaces reduce natural ground absorption and infiltration.","The model predicts an engineered weather-impact risk score derived from real weather, satellite, road, and exposure features. It is not trained on verified official flood incident labels."
NSR-GRID-020,evt_0551,0.6098158654529798,medium,rain_6h_mm,28.7,Associated local environmental feature increases relative weather risk.,rain_24h_mm,34.9,High 24-hour rainfall increases surface water accumulation risk.,elevation_mean,127.13578928635,Associated local environmental feature increases relative weather risk.,"This zone is model-estimated as medium risk. The primary risk drivers are: 1) rain_6h_mm (28.70) which associated local environmental feature increases relative weather risk, 2) rain_24h_mm (34.90) which high 24-hour rainfall increases surface water accumulation risk, and 3) elevation_mean (127.14) which associated local environmental feature increases relative weather risk.","The model predicts an engineered weather-impact risk score derived from real weather, satellite, road, and exposure features. It is not trained on verified official flood incident labels."
NSR-GRID-021,evt_0551,0.7640367149273093,high,rain_6h_mm,28.7,Associated local environmental feature increases relative weather risk.,rain_24h_mm,34.9,High 24-hour rainfall increases surface water accumulation risk.,elevation_mean,94.67315436241608,Associated local environmental feature increases relative weather risk.,"This zone is model-estimated as high risk. The primary risk drivers are: 1) rain_6h_mm (28.70) which associated local environmental feature increases relative weather risk, 2) rain_24h_mm (34.90) which high 24-hour rainfall increases surface water accumulation risk, and 3) elevation_mean (94.67) which associated local environmental feature increases relative weather risk.","The model predicts an engineered weather-impact risk score derived from real weather, satellite, road, and exposure features. It is not trained on verified official flood incident labels."
NSR-GRID-022,evt_0551,0.7047625777924182,high,rain_6h_mm,28.7,Associated local environmental feature increases relative weather risk.,rain_24h_mm,34.9,High 24-hour rainfall increases surface water accumulation risk.,elevation_mean,127.5322175732218,Associated local environmental feature increases relative weather risk.,"This zone is model-estimated as high risk. The primary risk drivers are: 1) rain_6h_mm (28.70) which associated local environmental feature increases relative weather risk, 2) rain_24h_mm (34.90) which high 24-hour rainfall increases surface water accumulation risk, and 3) elevation_mean (127.53) which associated local environmental feature increases relative weather risk.","The model predicts an engineered weather-impact risk score derived from real weather, satellite, road, and exposure features. It is not trained on verified official flood incident labels."
NSR-GRID-023,evt_0551,0.5765750816316162,medium,rain_6h_mm,28.7,Associated local environmental feature increases relative weather risk.,rain_24h_mm,34.9,High 24-hour rainfall increases surface water accumulation risk.,elevation_mean,149.56,Associated local environmental feature increases relative weather risk.,"This zone is model-estimated as medium risk. The primary risk drivers are: 1) rain_6h_mm (28.70) which associated local environmental feature increases relative weather risk, 2) rain_24h_mm (34.90) which high 24-hour rainfall increases surface water accumulation risk, and 3) elevation_mean (149.56) which associated local environmental feature increases relative weather risk.","The model predicts an engineered weather-impact risk score derived from real weather, satellite, road, and exposure features. It is not trained on verified official flood incident labels."
NSR-GRID-024,evt_0551,0.8678175939921646,high,rain_6h_mm,28.7,Associated local environmental feature increases relative weather risk.,rain_24h_mm,34.9,High 24-hour rainfall increases surface water accumulation risk.,built_surface_mean,3902.48866446826,Dense built-up surfaces reduce natural ground absorption and infiltration.,"This zone is model-estimated as high risk. The primary risk drivers are: 1) rain_6h_mm (28.70) which associated local environmental feature increases relative weather risk, 2) rain_24h_mm (34.90) which high 24-hour rainfall increases surface water accumulation risk, and 3) built_surface_mean (3902.49) which dense built-up surfaces reduce natural ground absorption and infiltration.","The model predicts an engineered weather-impact risk score derived from real weather, satellite, road, and exposure features. It is not trained on verified official flood incident labels."
NSR-GRID-025,evt_0551,0.8638111368420975,high,rain_6h_mm,28.7,Associated local environmental feature increases relative weather risk.,rain_24h_mm,34.9,High 24-hour rainfall increases surface water accumulation risk.,built_surface_mean,3728.202432488146,Dense built-up surfaces reduce natural ground absorption and infiltration.,"This zone is model-estimated as high risk. The primary risk drivers are: 1) rain_6h_mm (28.70) which associated local environmental feature increases relative weather risk, 2) rain_24h_mm (34.90) which high 24-hour rainfall increases surface water accumulation risk, and 3) built_surface_mean (3728.20) which dense built-up surfaces reduce natural ground absorption and infiltration.","The model predicts an engineered weather-impact risk score derived from real weather, satellite, road, and exposure features. It is not trained on verified official flood incident labels."
NSR-GRID-026,evt_0551,0.7857923256106707,high,rain_6h_mm,28.7,Associated local environmental feature increases relative weather risk.,rain_24h_mm,34.9,High 24-hour rainfall increases surface water accumulation risk.,built_surface_mean,2655.42412371134,Dense built-up surfaces reduce natural ground absorption and infiltration.,"This zone is model-estimated as high risk. The primary risk drivers are: 1) rain_6h_mm (28.70) which associated local environmental feature increases relative weather risk, 2) rain_24h_mm (34.90) which high 24-hour rainfall increases surface water accumulation risk, and 3) built_surface_mean (2655.42) which dense built-up surfaces reduce natural ground absorption and infiltration.","The model predicts an engineered weather-impact risk score derived from real weather, satellite, road, and exposure features. It is not trained on verified official flood incident labels."
NSR-GRID-027,evt_0551,0.8790681021724782,high,rain_6h_mm,28.7,Associated local environmental feature increases relative weather risk.,built_surface_mean,4037.213358070501,Dense built-up surfaces reduce natural ground absorption and infiltration.,rain_24h_mm,34.9,High 24-hour rainfall increases surface water accumulation risk.,"This zone is model-estimated as high risk. The primary risk drivers are: 1) rain_6h_mm (28.70) which associated local environmental feature increases relative weather risk, 2) built_surface_mean (4037.21) which dense built-up surfaces reduce natural ground absorption and infiltration, and 3) rain_24h_mm (34.90) which high 24-hour rainfall increases surface water accumulation risk.","The model predicts an engineered weather-impact risk score derived from real weather, satellite, road, and exposure features. It is not trained on verified official flood incident labels."
NSR-GRID-028,evt_0551,0.8188662099220849,high,rain_6h_mm,28.7,Associated local environmental feature increases relative weather risk.,built_surface_mean,4162.111592409241,Dense built-up surfaces reduce natural ground absorption and infiltration.,rain_24h_mm,34.9,High 24-hour rainfall increases surface water accumulation risk.,"This zone is model-estimated as high risk. The primary risk drivers are: 1) rain_6h_mm (28.70) which associated local environmental feature increases relative weather risk, 2) built_surface_mean (4162.11) which dense built-up surfaces reduce natural ground absorption and infiltration, and 3) rain_24h_mm (34.90) which high 24-hour rainfall increases surface water accumulation risk.","The model predicts an engineered weather-impact risk score derived from real weather, satellite, road, and exposure features. It is not trained on verified official flood incident labels."
NSR-GRID-029,evt_0551,0.8121335228678762,high,rain_6h_mm,28.7,Associated local environmental feature increases relative weather risk.,rain_24h_mm,34.9,High 24-hour rainfall increases surface water accumulation risk.,built_surface_mean,3624.8972984120433,Dense built-up surfaces reduce natural ground absorption and infiltration.,"This zone is model-estimated as high risk. The primary risk drivers are: 1) rain_6h_mm (28.70) which associated local environmental feature increases relative weather risk, 2) rain_24h_mm (34.90) which high 24-hour rainfall increases surface water accumulation risk, and 3) built_surface_mean (3624.90) which dense built-up surfaces reduce natural ground absorption and infiltration.","The model predicts an engineered weather-impact risk score derived from real weather, satellite, road, and exposure features. It is not trained on verified official flood incident labels."
NSR-GRID-030,evt_0551,0.8180715480497762,high,rain_6h_mm,28.7,Associated local environmental feature increases relative weather risk.,rain_24h_mm,34.9,High 24-hour rainfall increases surface water accumulation risk.,built_surface_mean,3616.79587628866,Dense built-up surfaces reduce natural ground absorption and infiltration.,"This zone is model-estimated as high risk. The primary risk drivers are: 1) rain_6h_mm (28.70) which associated local environmental feature increases relative weather risk, 2) rain_24h_mm (34.90) which high 24-hour rainfall increases surface water accumulation risk, and 3) built_surface_mean (3616.80) which dense built-up surfaces reduce natural ground absorption and infiltration.","The model predicts an engineered weather-impact risk score derived from real weather, satellite, road, and exposure features. It is not trained on verified official flood incident labels."
NSR-GRID-031,evt_0551,0.7220883867777229,high,rain_6h_mm,28.7,Associated local environmental feature increases relative weather risk.,rain_24h_mm,34.9,High 24-hour rainfall increases surface water accumulation risk.,slope_mean,6.77492849813703,Associated local environmental feature increases relative weather risk.,"This zone is model-estimated as high risk. The primary risk drivers are: 1) rain_6h_mm (28.70) which associated local environmental feature increases relative weather risk, 2) rain_24h_mm (34.90) which high 24-hour rainfall increases surface water accumulation risk, and 3) slope_mean (6.77) which associated local environmental feature increases relative weather risk.","The model predicts an engineered weather-impact risk score derived from real weather, satellite, road, and exposure features. It is not trained on verified official flood incident labels."
NSR-GRID-032,evt_0551,0.8523419039747919,high,rain_6h_mm,28.7,Associated local environmental feature increases relative weather risk.,rain_24h_mm,34.9,High 24-hour rainfall increases surface water accumulation risk.,built_surface_mean,3559.84948453608,Dense built-up surfaces reduce natural ground absorption and infiltration.,"This zone is model-estimated as high risk. The primary risk drivers are: 1) rain_6h_mm (28.70) which associated local environmental feature increases relative weather risk, 2) rain_24h_mm (34.90) which high 24-hour rainfall increases surface water accumulation risk, and 3) built_surface_mean (3559.85) which dense built-up surfaces reduce natural ground absorption and infiltration.","The model predicts an engineered weather-impact risk score derived from real weather, satellite, road, and exposure features. It is not trained on verified official flood incident labels."
NSR-GRID-033,evt_0551,0.6227272853962138,medium,rain_6h_mm,28.7,Associated local environmental feature increases relative weather risk.,rain_24h_mm,34.9,High 24-hour rainfall increases surface water accumulation risk.,elevation_mean,131.00758415970773,Associated local environmental feature increases relative weather risk.,"This zone is model-estimated as medium risk. The primary risk drivers are: 1) rain_6h_mm (28.70) which associated local environmental feature increases relative weather risk, 2) rain_24h_mm (34.90) which high 24-hour rainfall increases surface water accumulation risk, and 3) elevation_mean (131.01) which associated local environmental feature increases relative weather risk.","The model predicts an engineered weather-impact risk score derived from real weather, satellite, road, and exposure features. It is not trained on verified official flood incident labels."
NSR-GRID-034,evt_0551,0.6929393948018057,high,rain_6h_mm,28.7,Associated local environmental feature increases relative weather risk.,rain_24h_mm,34.9,High 24-hour rainfall increases surface water accumulation risk.,elevation_mean,138.16932036934327,Associated local environmental feature increases relative weather risk.,"This zone is model-estimated as high risk. The primary risk drivers are: 1) rain_6h_mm (28.70) which associated local environmental feature increases relative weather risk, 2) rain_24h_mm (34.90) which high 24-hour rainfall increases surface water accumulation risk, and 3) elevation_mean (138.17) which associated local environmental feature increases relative weather risk.","The model predicts an engineered weather-impact risk score derived from real weather, satellite, road, and exposure features. It is not trained on verified official flood incident labels."
NSR-GRID-035,evt_0551,0.6437957899519535,medium,rain_6h_mm,28.7,Associated local environmental feature increases relative weather risk.,rain_24h_mm,34.9,High 24-hour rainfall increases surface water accumulation risk.,elevation_mean,144.4608882942272,Associated local environmental feature increases relative weather risk.,"This zone is model-estimated as medium risk. The primary risk drivers are: 1) rain_6h_mm (28.70) which associated local environmental feature increases relative weather risk, 2) rain_24h_mm (34.90) which high 24-hour rainfall increases surface water accumulation risk, and 3) elevation_mean (144.46) which associated local environmental feature increases relative weather risk.","The model predicts an engineered weather-impact risk score derived from real weather, satellite, road, and exposure features. It is not trained on verified official flood incident labels."
NSR-GRID-036,evt_0551,0.6101965987890958,medium,rain_6h_mm,28.7,Associated local environmental feature increases relative weather risk.,rain_24h_mm,34.9,High 24-hour rainfall increases surface water accumulation risk.,elevation_mean,148.57760307933194,Associated local environmental feature increases relative weather risk.,"This zone is model-estimated as medium risk. The primary risk drivers are: 1) rain_6h_mm (28.70) which associated local environmental feature increases relative weather risk, 2) rain_24h_mm (34.90) which high 24-hour rainfall increases surface water accumulation risk, and 3) elevation_mean (148.58) which associated local environmental feature increases relative weather risk.","The model predicts an engineered weather-impact risk score derived from real weather, satellite, road, and exposure features. It is not trained on verified official flood incident labels."
NSR-GRID-037,evt_0551,0.6768830237171597,high,rain_6h_mm,28.7,Associated local environmental feature increases relative weather risk.,rain_24h_mm,34.9,High 24-hour rainfall increases surface water accumulation risk.,elevation_mean,154.23142680022207,Associated local environmental feature increases relative weather risk.,"This zone is model-estimated as high risk. The primary risk drivers are: 1) rain_6h_mm (28.70) which associated local environmental feature increases relative weather risk, 2) rain_24h_mm (34.90) which high 24-hour rainfall increases surface water accumulation risk, and 3) elevation_mean (154.23) which associated local environmental feature increases relative weather risk.","The model predicts an engineered weather-impact risk score derived from real weather, satellite, road, and exposure features. It is not trained on verified official flood incident labels."
NSR-GRID-038,evt_0551,0.7378752847306338,high,rain_6h_mm,28.7,Associated local environmental feature increases relative weather risk.,rain_24h_mm,34.9,High 24-hour rainfall increases surface water accumulation risk.,elevation_mean,128.23993497964003,Associated local environmental feature increases relative weather risk.,"This zone is model-estimated as high risk. The primary risk drivers are: 1) rain_6h_mm (28.70) which associated local environmental feature increases relative weather risk, 2) rain_24h_mm (34.90) which high 24-hour rainfall increases surface water accumulation risk, and 3) elevation_mean (128.24) which associated local environmental feature increases relative weather risk.","The model predicts an engineered weather-impact risk score derived from real weather, satellite, road, and exposure features. It is not trained on verified official flood incident labels."
NSR-GRID-039,evt_0551,0.815215704587574,high,rain_6h_mm,28.7,Associated local environmental feature increases relative weather risk.,rain_24h_mm,34.9,High 24-hour rainfall increases surface water accumulation risk.,built_surface_mean,3059.1661415668977,Dense built-up surfaces reduce natural ground absorption and infiltration.,"This zone is model-estimated as high risk. The primary risk drivers are: 1) rain_6h_mm (28.70) which associated local environmental feature increases relative weather risk, 2) rain_24h_mm (34.90) which high 24-hour rainfall increases surface water accumulation risk, and 3) built_surface_mean (3059.17) which dense built-up surfaces reduce natural ground absorption and infiltration.","The model predicts an engineered weather-impact risk score derived from real weather, satellite, road, and exposure features. It is not trained on verified official flood incident labels."
NSR-GRID-040,evt_0551,0.7315181176624246,high,rain_6h_mm,28.7,Associated local environmental feature increases relative weather risk.,rain_24h_mm,34.9,High 24-hour rainfall increases surface water accumulation risk.,elevation_mean,123.74653158563548,Associated local environmental feature increases relative weather risk.,"This zone is model-estimated as high risk. The primary risk drivers are: 1) rain_6h_mm (28.70) which associated local environmental feature increases relative weather risk, 2) rain_24h_mm (34.90) which high 24-hour rainfall increases surface water accumulation risk, and 3) elevation_mean (123.75) which associated local environmental feature increases relative weather risk.","The model predicts an engineered weather-impact risk score derived from real weather, satellite, road, and exposure features. It is not trained on verified official flood incident labels."
NSR-GRID-041,evt_0551,0.8584512630274702,high,rain_6h_mm,28.7,Associated local environmental feature increases relative weather risk.,rain_24h_mm,34.9,High 24-hour rainfall increases surface water accumulation risk.,built_surface_mean,3928.723919625653,Dense built-up surfaces reduce natural ground absorption and infiltration.,"This zone is model-estimated as high risk. The primary risk drivers are: 1) rain_6h_mm (28.70) which associated local environmental feature increases relative weather risk, 2) rain_24h_mm (34.90) which high 24-hour rainfall increases surface water accumulation risk, and 3) built_surface_mean (3928.72) which dense built-up surfaces reduce natural ground absorption and infiltration.","The model predicts an engineered weather-impact risk score derived from real weather, satellite, road, and exposure features. It is not trained on verified official flood incident labels."
NSR-GRID-042,evt_0551,0.6322700126498533,medium,rain_6h_mm,28.7,Associated local environmental feature increases relative weather risk.,rain_24h_mm,34.9,High 24-hour rainfall increases surface water accumulation risk.,elevation_mean,157.71091707913902,Associated local environmental feature increases relative weather risk.,"This zone is model-estimated as medium risk. The primary risk drivers are: 1) rain_6h_mm (28.70) which associated local environmental feature increases relative weather risk, 2) rain_24h_mm (34.90) which high 24-hour rainfall increases surface water accumulation risk, and 3) elevation_mean (157.71) which associated local environmental feature increases relative weather risk.","The model predicts an engineered weather-impact risk score derived from real weather, satellite, road, and exposure features. It is not trained on verified official flood incident labels."
